,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Dorian Green,37,2,13,0,8,2,5,0,1,0,3,3,0,0,1,3,3,6
1,2013-03-23,Colton Iverson,31,3,5,3,5,0,0,3,6,2,5,7,2,0,2,2,3,9
2,2013-03-23,Pierce Hornung,23,1,2,1,2,0,0,0,0,0,1,1,1,0,1,1,3,2
3,2013-03-23,Greg Smith,22,4,5,3,4,1,1,5,6,2,0,2,0,0,0,4,2,14
4,2013-03-23,Wes Eikmeier,21,4,6,4,6,0,0,1,2,0,1,1,1,0,0,4,3,9
5,2013-03-23,Daniel Bejarano,29,4,6,2,2,2,4,0,0,3,4,7,0,0,0,3,3,10
6,2013-03-23,Jonathan Octeus,26,1,2,1,1,0,1,4,6,0,1,1,0,0,0,1,2,6
7,2013-03-23,Gerson Santo,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2013-03-23,Joe De Ciman,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
