,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Geron Johnson,37,5,14,1,3,4,11,2,2,0,4,4,2,2,0,3,4,16
1,2013-03-23,Joe Jackson,35,6,13,6,10,0,3,0,1,2,5,7,3,1,0,5,1,12
2,2013-03-23,D.J. Stephens,32,1,7,0,5,1,2,0,0,3,3,6,0,1,4,0,3,3
3,2013-03-23,Adonis Thomas,23,2,6,2,5,0,1,1,2,2,0,2,1,0,0,0,2,5
4,2013-03-23,Shaq Goodwin,10,0,3,0,2,0,1,0,0,1,1,2,1,1,1,0,1,0
5,2013-03-23,Tarik Black,32,3,8,3,8,0,0,0,2,0,2,2,0,0,0,0,4,6
6,2013-03-23,Chris Crawford,30,2,13,2,8,0,5,2,3,1,1,2,1,2,0,3,3,6
7,2013-03-23,Antonio Barton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2013-03-23,Damien Wilson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
