,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Walt Lemon Jr.,36,5,13,5,10,0,3,2,5,2,4,6,6,2,1,4,1,12
1,2013-03-23,Dyricus Simms-Edwards,34,5,13,4,9,1,4,2,2,0,4,4,6,1,0,2,1,13
2,2013-03-23,Will Egolf,32,9,14,7,8,2,6,0,0,1,11,12,2,0,0,1,4,20
3,2013-03-23,Tyshon Pickett,24,6,7,6,7,0,0,5,6,2,2,4,2,1,1,1,4,17
4,2013-03-23,Jake Eastman,19,0,3,0,1,0,2,1,2,0,1,1,5,1,0,0,3,1
5,2013-03-23,Ka`Darryl Bell,26,3,4,3,3,0,1,2,3,1,2,3,1,1,0,2,3,8
6,2013-03-23,Jalen Crawford,13,2,4,0,0,2,4,0,0,0,0,0,0,0,1,1,2,6
7,2013-03-23,Shayok Shayok,12,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,2,0
8,2013-03-23,Jordan Prosser,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
