,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Billy Baron,41,10,19,8,13,2,6,8,9,1,5,6,5,3,0,2,0,30
1,2013-03-23,Jordan Heath,37,2,5,1,3,1,2,3,6,4,2,6,0,0,2,1,5,8
2,2013-03-23,Harold Washington,33,4,14,4,10,0,4,1,1,1,5,6,0,0,0,0,0,9
3,2013-03-23,Chris Manhertz,26,1,3,1,3,0,0,1,3,3,3,6,4,1,0,0,4,3
4,2013-03-23,Isaac Sosa,16,1,3,0,0,1,3,2,2,0,0,0,0,0,0,0,1,5
5,2013-03-23,Alshwan Hymes,29,7,17,2,4,5,13,0,0,0,2,2,0,0,0,1,1,19
6,2013-03-23,Reggie Groves,17,1,5,0,2,1,3,0,0,0,0,0,1,0,0,0,2,3
7,2013-03-23,Josiah Heath,16,1,4,1,4,0,0,1,2,5,4,9,0,0,0,2,1,3
8,2013-03-23,Freddy Asprilla,10,1,5,1,5,0,0,2,2,2,2,4,1,0,0,0,2,4
