,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Brandon Triche,40,1,8,0,7,1,1,5,8,1,3,4,2,2,0,3,1,8
1,2013-03-23,C.J. Fair,39,6,14,5,11,1,3,5,8,2,4,6,0,2,1,2,3,18
2,2013-03-23,Michael Carter-Williams,38,4,8,4,7,0,1,4,9,1,1,2,3,1,0,5,1,12
3,2013-03-23,James Southerland,35,4,8,2,3,2,5,4,4,2,7,9,2,4,0,2,5,14
4,2013-03-23,Rakeem Christmas,16,1,3,1,3,0,0,1,2,1,4,5,0,1,1,1,2,3
5,2013-03-23,Baye Keita,24,2,4,2,4,0,0,7,10,4,3,7,0,0,1,1,3,11
6,2013-03-23,Jerami Grant,7,0,1,0,1,0,0,0,0,2,0,2,0,0,0,1,1,0
7,2013-03-23,Trevor Cooney,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
