,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Kevin Pangos,39,6,17,2,5,4,12,3,5,0,0,0,5,3,0,4,4,19
1,2013-03-23,Kelly Olynyk,38,8,22,8,19,0,3,10,14,6,3,9,2,1,1,4,1,26
2,2013-03-23,Elias Harris,35,2,8,1,6,1,2,7,8,4,3,7,1,3,0,3,2,12
3,2013-03-23,Michael Hart,27,2,3,0,1,2,2,0,0,7,7,14,1,0,0,0,4,6
4,2013-03-23,Gary Bell,21,0,2,0,1,0,1,0,0,0,2,2,0,0,0,1,0,0
5,2013-03-23,David Stockton,17,2,2,2,2,0,0,0,0,2,0,2,3,0,0,0,0,4
6,2013-03-23,Drew Barham,9,1,3,0,1,1,2,0,2,1,0,1,0,1,0,0,2,3
7,2013-03-23,Kyle Dranginis,8,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
8,2013-03-23,Sam Dower,6,0,2,0,1,0,1,0,0,0,0,0,0,0,1,1,3,0
