,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Josh Davis,38,3,10,3,10,0,0,3,5,2,15,17,2,0,0,3,1,9
1,2013-03-23,Ricky Tarrant,36,3,6,0,0,3,6,0,0,0,0,0,5,0,0,3,4,9
2,2013-03-23,Jordan Callahan,33,2,8,0,0,2,8,0,0,0,4,4,3,1,0,1,3,6
3,2013-03-23,Kendall Timmons,32,7,13,5,10,2,3,13,15,0,2,2,1,5,0,2,2,29
4,2013-03-23,Trevante Drye,16,1,2,1,2,0,0,0,0,1,0,1,0,0,0,2,4,2
5,2013-03-23,Louis Dabney,15,2,7,1,5,1,2,6,7,0,0,0,0,0,0,1,2,11
6,2013-03-23,Kajon Mack,15,1,2,0,0,1,2,0,0,0,0,0,1,0,0,2,1,3
7,2013-03-23,Ben Cherry,13,1,2,0,0,1,2,0,0,1,2,3,1,0,0,1,0,3
8,2013-03-23,Jay Hook,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
