,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Allen Crabbe,38,3,9,1,4,2,5,0,0,1,3,4,2,0,1,5,3,8
1,2013-03-23,Richard Solomon,34,7,12,7,11,0,1,8,13,5,9,14,1,0,0,1,4,22
2,2013-03-23,Justin Cobbs,30,2,9,2,4,0,5,1,2,0,1,1,4,2,0,4,4,5
3,2013-03-23,Tyrone Wallace,28,5,13,3,5,2,8,0,0,0,1,1,2,0,0,2,4,12
4,2013-03-23,David Kravish,21,1,3,1,3,0,0,2,2,1,5,6,3,2,1,2,3,4
5,2013-03-23,Ricky Kreklow,21,0,3,0,1,0,2,0,0,2,1,3,2,1,0,3,4,0
6,2013-03-23,Robert Thurman,18,4,7,4,7,0,0,1,2,2,0,2,0,0,0,0,2,9
7,2013-03-23,Brandon Smith,9,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0
