,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Blake Allen,45,10,18,3,6,7,12,0,0,0,3,3,5,0,0,2,3,27
1,2013-03-23,Kendrick Perry,43,6,15,3,6,3,9,5,6,2,5,7,5,1,0,3,4,20
2,2013-03-23,Kamren Belin,41,5,14,1,5,4,9,0,0,6,5,11,2,1,0,2,4,14
3,2013-03-23,Damian Eargle,37,6,11,6,11,0,0,2,3,2,9,11,2,1,1,3,2,14
4,2013-03-23,D.J. Cole,37,2,7,1,3,1,4,1,2,0,1,1,6,1,0,3,2,6
5,2013-03-23,Shawn Amiker Jr.,13,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,3,1
6,2013-03-23,Bobby Hain,8,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,1,0
7,2013-03-23,Ryan Weber,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
