,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Glenn Cosey,37,5,10,1,3,4,7,4,6,0,3,3,2,0,0,3,4,18
1,2013-03-23,Corey Walden,34,5,12,4,7,1,5,1,2,0,2,2,1,2,0,0,4,12
2,2013-03-23,Mike DiNunno,23,4,8,0,2,4,6,2,2,0,2,2,1,1,0,3,3,14
3,2013-03-23,Tarius Johnson,23,1,4,1,1,0,3,0,0,0,4,4,3,1,0,0,3,2
4,2013-03-23,Eric Stutz,22,4,6,4,5,0,1,3,4,1,3,4,0,2,1,3,3,11
5,2013-03-23,Marcus Lewis,24,1,3,1,2,0,1,1,3,0,1,1,0,1,0,0,5,3
6,2013-03-23,Orlando Williams,19,3,5,2,2,1,3,0,1,0,1,1,1,2,0,2,2,7
7,2013-03-23,Jeff Johnson,16,1,1,0,0,1,1,0,0,0,2,2,3,0,0,0,2,3
8,2013-03-23,Timmy Knipp,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2
