,Date,Name,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-03-23,Trevor Releford,35,3,10,3,7,0,3,4,5,1,4,5,2,2,0,1,2,10
1,2013-03-23,Levi Randolph,34,4,7,2,4,2,3,6,8,1,5,6,1,2,0,1,0,16
2,2013-03-23,Rodney Cooper,32,2,7,1,4,1,3,2,2,0,1,1,2,0,0,0,1,7
3,2013-03-23,Trevor Lacey,15,2,5,1,3,1,2,0,0,0,2,2,1,1,1,3,4,5
4,2013-03-23,Moussa Gueye,11,0,2,0,2,0,0,0,0,2,2,4,0,1,1,3,2,0
5,2013-03-23,Retin Obasohan,29,3,9,3,8,0,1,8,8,1,5,6,1,1,1,2,1,14
6,2013-03-23,Devonta Pollard,24,2,5,2,5,0,0,0,1,3,5,8,2,1,1,2,2,4
7,2013-03-23,Nick Jacobs,20,4,7,4,7,0,0,2,2,3,3,6,0,0,0,0,2,10
